,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
1620,1620,19.8440821099881,2026-03-04 02:53:15.933235,2026-03-04 03:05:24.539357,0 days 00:12:08.606122,0.13157850035307073,0.22772384218537572,0.05459680648284661,0.6992173536236405,0.43407150188024396,0.3384703176574264,1.3991826825044753,0.001217916213624578,2.715226195585807,0.9994563695794979,0.07082422313687203,2.340742547284892,0.4186375348281546,COMPLETE
1383,1383,19.851941276484382,2026-03-03 17:18:32.138912,2026-03-03 17:30:47.579040,0 days 00:12:15.440128,0.19918572435867873,0.7665431480644974,0.10019462579454753,0.9475138722837011,0.40306763697778314,0.5060192929536681,1.182823630689665,0.08152956205114374,2.9455655283827236,0.8385099150681841,0.0008561957989845215,1.007140097870356,0.2383877311002761,COMPLETE
1067,1067,19.877315156618124,2026-03-03 04:25:01.150024,2026-03-03 04:37:23.096408,0 days 00:12:21.946384,0.49988182404954523,0.6105714037935515,0.0006964648628626604,0.7002738584940282,0.9235400258115138,0.4659777099216923,1.7805434096682848,0.06783297674797106,2.77980915877057,0.8846017853130401,0.09375649635108016,1.738272739910622,0.9068378752107868,COMPLETE
1623,1623,19.877753175282088,2026-03-04 02:59:21.062151,2026-03-04 03:11:33.490990,0 days 00:12:12.428839,0.46674889615645254,0.29218722340153147,0.09667747602765428,0.6826898093400967,0.4385594952852694,0.3463918378988748,1.3664391444244472,0.0004091130065465335,3.294993835334858,0.9995924168074198,0.050482421546998384,2.3482878972709664,0.9309231238355828,COMPLETE
1710,1710,19.94358293727682,2026-03-04 06:34:54.395888,2026-03-04 06:47:10.236015,0 days 00:12:15.840127,0.4894740807931044,0.6310212397953472,0.14044980080988573,0.506470587653632,0.283435368232256,0.5069824575065299,1.0058708244367154,0.00032600331675755747,1.2564529653980885,0.856076785144547,0.1613828290999178,1.9004637783842488,0.8520037156215096,COMPLETE
978,978,19.970076275711374,2026-03-03 00:46:16.183280,2026-03-03 00:58:24.554950,0 days 00:12:08.371670,0.4743025071988306,0.6812137152818888,0.000983742774024783,1.0379241304277873,0.2007242584389211,0.5391484893948753,1.0025394547878346,0.09192240200880337,2.326433622248798,0.7748446884290385,0.07682821231071574,1.3716781123112047,0.9797764052299301,COMPLETE
1867,1867,19.97148735898251,2026-03-04 12:52:34.113334,2026-03-04 13:04:50.563611,0 days 00:12:16.450277,0.3389740405483805,0.69037902087879,0.001171836449953729,2.089652790446709,0.2184031616647285,0.40604880864591897,1.361830094253359,0.07748129743594061,2.7110880424206742,0.8395553386892523,0.10101890752637079,1.2042056104598566,0.9246789470527004,COMPLETE
1233,1233,20.025782937429334,2026-03-03 11:10:36.829871,2026-03-03 11:22:46.316746,0 days 00:12:09.486875,0.4902482467362535,0.7573130483162469,0.026741255321756897,0.7643454854236613,0.4265955082777783,0.4295303590792196,1.318874245173047,0.00027755580087812095,1.3265348899860778,0.967078075952647,0.1134032092172992,1.6225852081413787,0.19166321506823575,COMPLETE
1849,1849,20.03479860530419,2026-03-04 12:12:21.776652,2026-03-04 12:24:37.507830,0 days 00:12:15.731178,0.4745029693479138,0.7409267166960407,0.00019051430043483784,0.7023019937479336,0.4817217187188985,0.46319788109721843,1.1935415040385589,0.09954825706218606,2.4404182865256705,0.8560548417257509,0.12903565317992624,1.8858797502582851,0.21109284932575573,COMPLETE
876,876,20.06544027683425,2026-03-02 20:26:07.477425,2026-03-02 20:35:36.790363,0 days 00:09:29.312938,0.48021771809766295,0.6178016346785428,0.04746471742827313,1.2549370154737245,0.48495134445284116,0.41238253658919305,1.0073329329729015,0.00030532817486022407,2.9867223981649778,0.9138763940918491,0.09233668826450958,1.6104592453850486,0.8832360701643469,COMPLETE
485,485,20.066935819479127,2026-03-02 04:40:35.930376,2026-03-02 04:52:31.363591,0 days 00:11:55.433215,0.48680361263004024,0.8483006189724736,0.15014426417266905,1.0544276402990667,0.4874834497790972,0.2707990167508784,1.2956022778139147,0.029564829183427385,5.836204589151082,0.7656737191773877,0.0012613248756895312,4.049490250747252,0.8694132622697541,COMPLETE
595,595,20.136573464683106,2026-03-02 08:59:07.007998,2026-03-02 09:10:26.019984,0 days 00:11:19.011986,0.49299323835918674,0.6529945899510323,0.0376627067241993,1.4265157209053767,0.48769518114792304,0.4334475836994134,1.0005601511070554,0.001449547761779174,2.9240153117717154,0.8689576241913758,0.13107262011821863,1.9696444812424039,0.8593720057740858,COMPLETE
1387,1387,20.151609236882354,2026-03-03 17:30:09.293764,2026-03-03 17:42:14.448507,0 days 00:12:05.154743,0.08105728658144323,0.7654509044122939,0.0015653994540149696,0.8944416493195892,0.45199904395431195,0.4812202285169904,1.2020744408957675,0.11106978917033689,3.172821493514792,0.8621789371762512,0.05481298883731257,1.3352830386486403,0.227337337577266,COMPLETE
1605,1605,20.171781596393043,2026-03-04 02:16:50.351363,2026-03-04 02:28:53.742180,0 days 00:12:03.390817,0.45050872489008,0.28472578689862144,0.001810032947076509,1.2084689283190824,0.3169014034282556,0.36278862968907705,1.8228066787897539,0.0011858607020848446,3.5803297932587803,0.9987305481487883,0.1027941582500286,1.6161066236766797,0.8920787824115376,COMPLETE
882,882,20.19858749964115,2026-03-02 20:37:14.470135,2026-03-02 20:46:36.940557,0 days 00:09:22.470422,0.45144990092643683,0.6115852461747382,0.028889517201805614,0.9863261247273438,0.4601398893505,0.37561884993584677,1.449433108863909,0.0006866986643217331,2.3351570732595612,0.9385356138626763,0.15513620660053523,1.043003969905532,0.9174595676843399,COMPLETE
782,782,20.25069011225917,2026-03-02 16:23:44.097345,2026-03-02 16:35:18.383035,0 days 00:11:34.285690,0.32530897053921004,0.7094045962451762,0.0011242379912906678,0.8858225217925669,0.9909265741561073,0.5126376735925673,1.1739391025411152,0.047021365383013575,2.669580068645158,0.8534892457856882,0.09378276479624512,2.090570964074763,0.7887508763055249,COMPLETE
578,578,20.2721639966637,2026-03-02 08:22:37.595540,2026-03-02 08:31:39.273896,0 days 00:09:01.678356,0.25475631556436834,0.6067053579047573,0.22161449614265824,1.2286023169953013,0.5918322692961261,0.41350060295802293,1.009816640652401,0.0005841613425614015,6.886552978713736,0.906232922379746,0.07687961780459182,2.073779030805701,0.9592464030687645,COMPLETE
1741,1741,20.27862843988707,2026-03-04 07:49:47.182868,2026-03-04 08:02:03.666918,0 days 00:12:16.484050,0.4915858641991253,0.7110778568776355,0.000666723898417737,1.3865399668151026,0.48061656683929016,0.4834208082517945,1.3431563823383974,0.053875129662624296,2.0613528483099266,0.8774783229506056,0.04359946783561143,1.3839940845880483,0.8120769660449266,COMPLETE
